Variables,PR1,PR2,PR3,DR1,DR2,DR3,MR1,MR2,MR3
CONTROL,18.98,17.21,19.04,432.00,441.00,426.10,124.80,124.38,119.25
NHT0254b,5.72,6.21,5.96,552.60,554.90,550.00,132.10,136.25,124.54
NHT0356b,4.41,4.56,4.87,571.00,572.00,570.00,116.10,110.24,121.24
NGB00699,0.04,0.05,0.04,622.00,618.00,626.00,127.20,135.04,126.58
NHT0206a,-10.04,-9.97,-10.11,681.80,697.00,665.00,131.80,141.60,121.77
NHT100,2.36,2.45,2.29,672.30,683.00,661.00,80.20,84.67,83.22
NHT0199c,-2.23,-2.22,-3.01,670.10,662.00,678.00,148.70,149.97,150.37
NGB00733,-6.91,-6.48,-7.16,448.30,441.00,455.00,187.30,198.44,185.07
NGB00739,-6.84,-7.11,-6.90,509.00,516.00,503.00,250.20,265.54,251.25
NHT034a,-4.37,-4.87,-4.55,527.10,532.00,522.00,231.50,247.88,232.30
NHT0226a,-0.34,-0.38,-0.42,858.30,857.00,859.00,275.10,259.23,270.83
NHT0339a,-0.76,-0.87,-0.72,551.70,552.00,549.00,104.90,106.26,102.91
NHT0366,2.60,2.99,2.41,539.40,533.10,542.60,251.60,235.57,249.43
NHT0216a,-2.37,-2.39,-2.36,546.70,549.30,556.20,455.00,458.44,478.92
NHT0355a,6.67,6.22,6.41,455.00,457.00,451.00,142.50,148.81,145.04
NHT0259a,0.41,0.42,0.44,1403.70,1413.20,1297.90,273.50,267.01,269.43
NGB00713,1.23,1.39,1.32,296.80,287.00,310.70,221.10,234.32,207.67
